,Unnamed: 0,ID,permalink,username,text,date,formatted_date,retweets,favorites,mentions,hashtags,geo,urls,author_id,Anger,Disgust,Fear,Joy,Sadness,Surprise,is_english,polarity_of_tweet,has_yoshua,has_gary
21,21,1211705949104160768,https://twitter.com/jachiam0/status/1211705949104160768,,"The votes are in: the ""Nay""s have it, with a resounding 92.2% of nearly a thousand votes. The #AIDebate convinced very few people to substantially change course. (1/6) https:// twitter.com/jachiam0/statu s/1210600717481922560 …",2019-12-30 17:49:45,Mon Dec 30 17:49:45 +0000 2019,2,4,,#AIDebate,,https://twitter.com/jachiam0/status/1210600717481922560,966815073690730496,0.09877867251634598,0.07030268758535385,0.551374614238739,0.20990478992462158,0.01233544759452343,0.0573037788271904,True,0.1,False,False
22,22,1211698690743848960,https://twitter.com/ceobillionaire/status/1211698690743848960,,What’s in a name? The ‘deep learning’ debate Yoshua Bengio and Gary Marcus held a debate in Montreal on Monday about the future of artificial intelligence (...) Article by @TiernanRayTech - ZDNet : https://www. zdnet.com/article/whats- in-a-name-the-deep-learning-debate/ … #AIDebate pic.twitter.com/3zGCtlDwXZ,2019-12-30 17:20:54,Mon Dec 30 17:20:54 +0000 2019,2,5,@TiernanRayTech,#AIDebate,,https://www.zdnet.com/article/whats-in-a-name-the-deep-learning-debate/,176540776,0.0007247524918057024,0.006976769771426916,0.6701213121414185,0.3056076467037201,0.004125443287193775,0.012444084510207176,True,-0.19999999999999998,True,True
23,23,1211686974559408128,https://twitter.com/dwf/status/1211686974559408128,,"First and last thing I will say about the #AIDebate : is spot on. At the beginning of the decade, DL was the fringe. What brought it mainstream wasn't eloquently argued debating points but hard won results which became too compelling to ignore. Talk is cheap. https:// twitter.com/tyrell_turing/ status/1211383286557290498 …",2019-12-30 16:34:21,Mon Dec 30 16:34:21 +0000 2019,4,45,,#AIDebate,,https://twitter.com/tyrell_turing/status/1211383286557290498,6270652,0.08490034192800522,0.0017064985586330295,0.4791261553764343,0.4015968143939972,0.014607332646846771,0.018062857910990715,True,0.13166666666666665,False,False
24,24,1211643349414940673,https://twitter.com/RahimiSamira/status/1211643349414940673,,"Moreover, I think we are overusing #DL ...For example when simple techniques like regs give us good enough results (almost same results as #DL ) & we are using DL.. @GaryMarcus #AIDebate (2/2)",2019-12-30 13:41:00,Mon Dec 30 13:41:00 +0000 2019,3,11,@GaryMarcus,#DL #DL #AIDebate,,,577385558,0.09049243479967117,0.005201962776482105,0.05277121439576149,0.7617964148521423,0.07049164921045303,0.019246336072683334,True,0.2333333333333333,False,True
25,25,1211641810101166080,https://twitter.com/RahimiSamira/status/1211641810101166080,,I believe what @GaryMarcus is highlighting is to consider #DL as one tool among others & suggests DL must be supplemented by other techniques..that I agree with somehow #AIDebate (1/2),2019-12-30 13:34:53,Mon Dec 30 13:34:53 +0000 2019,2,10,@GaryMarcus,#DL #AIDebate,,,577385558,0.14266224205493927,0.011057938449084759,0.13011899590492249,0.6185780763626099,0.052673447877168655,0.04490933194756508,True,0.0,False,True
26,26,1211593616646397952,https://twitter.com/InnovatArt/status/1211593616646397952,,"There is currently an interesting #AIDebate on twitter where experts of this domain share their beliefs in this domain: I would say their self-portrait. Does AI is the science of self-portrait, creation of a reflection of its own image? https:// twitter.com/InnovatArt/sta tus/1209425224174841856 … pic.twitter.com/IVSZjHE34x",2019-12-30 10:23:23,Mon Dec 30 10:23:23 +0000 2019,4,6,,#AIDebate,,https://twitter.com/InnovatArt/status/1209425224174841856,949422362348355584,0.04076032340526581,0.003736712969839573,0.07761868834495544,0.8465324640274048,0.019919641315937042,0.011432172730565071,True,0.5,False,False
27,27,1211592704913793026,https://twitter.com/GuiHeinen/status/1211592704913793026,,Isn't it the right time for @JeffCHawkins to join the #AIdebate ?,2019-12-30 10:19:45,Mon Dec 30 10:19:45 +0000 2019,3,5,@JeffCHawkins,#AIdebate,,,843210107337003008,0.015603750944137573,0.009066964499652386,0.24550992250442505,0.21795397996902466,0.08414414525032043,0.427721232175827,True,0.2857142857142857,False,False
28,28,1211493810020196353,https://twitter.com/Zergylord/status/1211493810020196353,,"Aristotelian physics may be flawed, but it has been unfairly discarded in favor of Newtonian physics, despite the latter not solving all of the open problems in the field. Clearly the way forward is a hybrid system, wherein aether obeys the conservation of momentum. #AIDebate pic.twitter.com/ZgNpoaqTi7",2019-12-30 03:46:47,Mon Dec 30 03:46:47 +0000 2019,17,114,,#AIDebate,,,50725778,0.06844878196716309,0.03039919026196003,0.32469961047172546,0.5568922758102417,0.008207407779991627,0.011352729983627796,True,-0.18,False,False
29,29,1211481907067867136,https://twitter.com/harmvanseijen/status/1211481907067867136,,There's been quite a twitter-storm following the #AIDebate from a week ago. Here's my 2 cents on the debate and the storm that followed it: (1/4),2019-12-30 02:59:29,Mon Dec 30 02:59:29 +0000 2019,5,20,,#AIDebate,,,1205272917602254848,0.1679515838623047,0.09294731914997101,0.4060242474079132,0.2092096209526062,0.10652311891317368,0.01734413020312786,True,0.0,False,False
30,30,1211456215970041856,https://twitter.com/GaryMarcus/status/1211456215970041856,,"Compare this with Yoshua's arguments at #AIdebate against symbols and we have the first and last stages of scientific truth , viz ""it's wrong"" (Yoshua, also Hinton), and ""we knew it all along"" (Luke). Anyone want to cover the middle stage (""It's not important"")? https:// twitter.com/drlukeor/statu s/1211453708887719937 …",2019-12-30 01:17:24,Mon Dec 30 01:17:24 +0000 2019,3,10,,#AIdebate,,https://twitter.com/drlukeor/status/1211453708887719937,232294292,0.051143378019332886,0.006342180073261261,0.0799034908413887,0.7754518985748291,0.03328173980116844,0.0538773313164711,True,0.030000000000000006,True,False
